FID,Name,FolderPath,SymbolID,AltMode,Base,Clamped,Extruded,Snippet,PopupInfo,Shape_Leng,Shape_Area,Shape__Area,Shape__Length,GlobalID
46,Los Feliz,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,44,0,0,-1,0, ,https://empowerla.org/lfnc,0.344667211885,0.00235792849997,35298473.8359375,42278.3421364204,79daa99e-e54a-49a0-828d-fa93ffc8213a
47,MacArthur Park,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,45,0,0,-1,0, ,https://empowerla.org/mpnc,0.0610000701788,0.000160549913685,2401461.9921875,7401.61292499456,3f829b2e-0e27-4fc7-bb0f-6a383a2c5a97
48,Mar Vista,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,46,0,0,-1,0, ,https://empowerla.org/mvcc/,0.169000896065,0.00105468417971,15767497.9296875,20315.6772355948,e251e3d7-a7fa-4713-ac2a-7713bf67d9a1
49,Mid City,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,47,0,0,-1,0, ,https://empowerla.org/minc/,0.115604023798,0.00046763162238,6993217.1953125,13356.2965708237,d640222e-0c9d-4182-92d4-2dd4a152b1dd
50,Mid City West,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,48,0,0,-1,0, ,https://empowerla.org/mcwcc,0.192361779682,0.0010441155225,15620286.2382813,23355.9262519629,6871d862-1fe4-4988-b6bf-b9f5a520e2dc
51,Mission Hills,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,49,0,0,-1,0, ,https://empowerla.org/mhnc/,0.147835320165,0.00091522980093,13723744.8867188,18493.4445552235,cb88bbad-9bf2-4cbd-a851-4c9ad89b4541
52,NoHo,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,50,0,0,-1,0, ,https://empowerla.org/nohonc/,0.141475431862,0.0008954119895,13411639.21875,17201.3104491045,4c154375-32d1-4ff1-8680-dc579b800c12
53,North Hills East,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,51,0,0,-1,0, ,https://empowerla.org/nhenc/,0.106844156617,0.000489636732999,7339253.828125,13453.7375809976,0e4f3bbc-0718-4557-ae88-91ccbbe4738a
54,North Hills West,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,52,0,0,-1,0, ,https://empowerla.org/nhwnc/,0.106905184389,0.000603933340499,9052287.75390625,13251.223182808,e57e9158-2eba-411f-aa41-ee653ae05ce7
55,North Hollywood Northeast,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,50,0,0,-1,0, ,https://empowerla.org/nhnenc/,0.161852974902,0.00107067718639,16042103.9414063,19701.3911491133,1492210b-f167-482e-b7ad-bb61c3ba61c2
